0,AQ,15
0,BD,20
0,BD,40
0,BV,26
0,CE,39
0,CQ,5
0,CW,26
0,DT,18
0,DY,6
0,EC,19
0,EJ,42
0,EL,35
0,FV,7
0,GP,22
0,HS,9
0,HU,23
0,IB,54
0,ID,35
0,JR,27
0,ME,17
0,MP,3
0,MZ,56
0,QJ,7
0,QS,11
0,RP,1
0,RP,22
0,SP,17
0,TA,29
0,TC,25
0,TX,32
0,UL,34
0,UZ,32
0,WI,21
0,WY,3
1,AL,21
1,AQ,51
1,BR,49
1,CA,39
1,CT,32
1,DI,20
1,EM,59
1,GJ,6
1,HN,1
1,NA,39
1,NF,56
1,NU,43
1,OC,1
1,OM,5
1,ON,53
1,PD,1
1,PS,24
1,SM,13
1,SW,49
1,TL,15
1,TS,55
1,US,54
1,VG,57
1,XB,35
1,XC,47
1,XM,60
1,YD,30
1,YV,56
1,ZC,60
1,ZH,36
2,AG,49
2,CI,52
2,CJ,35
2,CM,48
2,CR,11
2,DC,58
2,DH,24
2,DL,30
2,DW,47
2,EI,27
2,EM,39
2,EY,2
2,HD,8
2,IG,57
2,JK,50
2,KE,56
2,LV,51
2,NA,46
2,NC,22
2,NX,23
2,OA,6
2,OQ,28
2,PQ,42
2,PS,54
2,RJ,47
2,VD,42
2,VW,60
2,VY,36
2,WJ,2
2,WR,19
2,YP,36
2,ZA,54
2,ZB,32
2,ZQ,29
2,ZS,42
3,AF,36
3,CG,41
3,CN,48
3,CS,14
3,DP,56
3,DZ,24
3,ED,6
3,ER,56
3,HA,17
3,HL,20
3,HU,16
3,HW,47
3,LM,9
3,LS,59
3,OA,44
3,PP,54
3,QW,12
3,QZ,24
3,SS,25
3,SS,31
3,UJ,16
3,WH,26
3,YY,22
3,ZD,18
4,BC,41
4,DI,14
4,DX,9
4,ER,29
4,GD,51
4,HB,16
4,HN,25
4,IT,37
4,IZ,52
4,JR,58
4,LR,4
4,MW,13
4,NA,28
4,NT,42
4,OA,12
4,OG,8
4,PE,6
4,PH,48
4,QL,53
4,RO,10
4,SI,4
4,TA,22
4,TC,53
4,VH,51
4,VI,6
4,VN,17
4,WV,4
4,XJ,10
4,YF,47
4,YJ,4
4,YU,28
5,AE,58
5,BJ,3
5,BR,38
5,FE,14
5,FE,54
5,FR,36
5,GA,3
5,GF,35
5,GL,49
5,IE,45
5,IJ,51
5,JM,8
5,KN,25
5,MQ,22
5,NC,9
5,NL,41
5,PR,15
5,QF,57
5,SY,55
5,UD,18
5,UT,6
5,VF,57
5,WE,22
5,WE,45
5,XB,23
5,XN,16
5,YS,23
6,CU,46
6,EA,42
6,EC,40
6,FD,36
6,FR,9
6,IA,60
6,JG,5
6,KG,5
6,KI,36
6,KY,9
6,MD,13
6,MJ,8
6,MQ,55
6,MV,11
6,NA,51
6,PA,10
6,PX,10
6,QH,28
6,QJ,21
6,RB,19
6,RM,19
6,RR,12
6,RS,3
6,SD,2
6,SG,23
6,TQ,7
6,UR,56
6,ZK,34
6,ZO,23
6,ZO,57
7,AT,44
7,AW,37
7,AY,44
7,EP,56
7,FB,50
7,FC,32
7,FM,37
7,GI,44
7,GK,13
7,HQ,42
7,HW,13
7,KH,7
7,KJ,26
7,LA,4
7,MA,24
7,ME,14
7,NU,12
7,NX,5
7,OR,19
7,OY,35
7,QY,3
7,RE,2
7,SP,10
7,TI,7
7,VB,37
7,VK,18
7,VQ,25
7,VR,33
7,VU,2
7,WQ,23
7,XH,1
7,YK,22
7,ZS,12
8,AD,40
8,DX,53
8,FM,57
8,HL,36
8,HX,49
8,IH,35
8,IQ,47
8,KV,26
8,LD,39
8,SE,1
8,TT,23
8,UF,36
8,VZ,25
8,WC,9
8,WH,6
8,WZ,54
8,XG,19
8,YL,9
8,ZD,3
8,ZT,46
9,AN,20
9,BC,59
9,BL,21
9,CZ,43
9,DK,38
9,DT,27
9,EL,10
9,FB,23
9,FM,2
9,GE,9
9,HE,35
9,HP,10
9,HS,9
9,KK,22
9,KW,56
9,MA,41
9,ME,54
9,MH,16
9,MH,48
9,MK,4
9,MR,25
9,MS,34
9,PS,5
9,RW,15
9,SK,56
9,SZ,41
9,UE,60
9,WI,22
9,XB,35
9,XT,3
9,YG,1
9,ZC,36
10,AC,45
10,AS,16
10,DW,33
10,DZ,37
10,EW,44
10,FJ,34
10,HZ,50
10,IG,28
10,IJ,40
10,LF,21
10,LG,59
10,LN,30
10,LT,45
10,LX,2
10,MF,10
10,NP,1
10,NT,4
10,OT,44
10,PP,59
10,PU,2
10,RH,35
10,RM,44
10,SO,29
10,TD,3
10,TH,47
10,TW,10
10,WS,28
10,XR,1
10,ZJ,40
11,AG,29
11,AO,7
11,AR,45
11,AS,52
11,BB,3
11,BJ,47
11,CX,3
11,ED,2
11,FG,17
11,FK,26
11,FP,15
11,FP,48
11,GA,41
11,IV,38
11,KH,29
11,KY,15
11,LA,42
11,MP,35
11,MR,20
11,MR,36
11,MS,13
11,MT,5
11,MW,26
11,NK,25
11,OH,27
11,OM,10
11,OX,52
11,QC,22
11,RM,3
11,RN,22
11,SJ,6
11,UQ,46
11,UV,53
11,VF,3
11,WC,12
11,XT,53
11,YK,11
12,AI,48
12,AJ,7
12,AL,20
12,BC,39
12,CC,36
12,CS,22
12,CX,30
12,DK,26
12,GT,19
12,GZ,20
12,HD,47
12,HE,9
12,HW,36
12,HY,5
12,IG,26
12,IV,21
12,LF,5
12,LR,15
12,NM,35
12,OA,54
12,QQ,20
12,RG,27
12,TH,47
12,TM,6
12,UA,38
12,VL,2
12,WS,43
12,YC,41
12,YW,53
13,BK,36
13,BZ,39
13,CG,4
13,CP,42
13,CT,8
13,ED,17
13,ED,36
13,EI,38
13,GB,12
13,ID,31
13,IK,15
13,JQ,57
13,LK,24
13,LP,24
13,LT,8
13,LY,51
13,LZ,28
13,MI,26
13,MT,34
13,PA,6
13,PW,15
13,QB,40
13,QH,40
13,SP,57
13,SR,50
13,TK,13
13,UW,49
13,VF,42
13,WS,38
13,WU,19
13,WY,36
13,XO,30
13,YR,52
13,ZW,27
13,ZX,23
14,AQ,27
14,AW,26
14,BT,43
14,CF,22
14,CR,43
14,CY,12
14,DD,19
14,DG,40
14,DJ,38
14,EO,54
14,FW,36
14,GJ,48
14,GM,16
14,IX,39
14,KE,30
14,KK,31
14,LE,1
14,MK,32
